sep=;
STOCK;LAST PRICE;52 WRK LOW;52 WRK HIGH;SENTIMENT;BUYQT;SELLQT;SECTOR;MARKET CAP (RS CR);P/E;BOOK VALUE (RS);DIV (%);MARKET LOT;INDUSTRY P/E;EPS (TTM);P/C;PRICE/BOOK;DIV YIELD.(%);FACE VALUE (RS);DELIVERABLES (%)
Coral Laboratories Ltd.;909.65;566.00;1190.00;-;391;245;PHARMACEUTICALS;324.98;19.53;236.40;50.00%;1;30.80;46.57;17.86;3.85;0.55%;10.00;73.14
Country Condos Ltd.;4.45;2.55;5.08;-;2.22 L;-;CONSTRUCTION & CONTRACTING - REAL ESTATE;34.53;55.63;2.23;0.00%;1;45.02;0.08;40.45;2.00;-%;1.00;100
Denis Chem Lab Ltd.;107.30;100.00;216.90;-;528;427;PHARMACEUTICALS;148.90;-;31.38;0.00%;1;45.75;-;22.83;3.42;-%;10.00;81.47
DIL Ltd.;2582.25;590.00;2600.10;-;250;-;PHARMACEUTICALS;592.16;-;380.55;25.00%;1;30.80;-;-;6.79;0.10%;10.00;100
Divis Laboratories Ltd.;1104.60;533.10;1141.75;-;2566;3725;PHARMACEUTICALS;29,323.66;32.19;203.75;500.00%;1;30.80;34.31;28.35;5.42;0.91%;2.00;50.88
Dr Lal PathLabs Ltd.;913.55;717.65;1126.00;-;88;569;PHARMACEUTICALS;7,612.86;50.25;75.03;30.00%;1;51.74;18.18;41.49;12.18;0.33%;10.00;71.18
Dr Reddys Laboratories Ltd.;2489.40;1901.65;3175.00;-;1950;2465;PHARMACEUTICALS;41,297.58;54.69;699.28;400.00%;1;30.80;45.52;27.71;3.56;0.80%;5.00;37.66
Everest Organics Ltd.;163.30;57.55;183.65;BUY;100;88;PHARMACEUTICALS;130.64;56.51;20.11;0.00%;1;30.80;2.89;27.45;8.12;-%;10.00;78.77
FDC Ltd.;235.65;164.00;269.80;-;2734;3536;PHARMACEUTICALS;4,190.64;25.37;71.06;225.00%;1;30.80;9.29;20.98;3.32;0.95%;1.00;55.96
Fervent Synergies Ltd.;22.35;17.25;34.75;BUY;355;340;PHARMACEUTICALS;67.05;32.39;13.58;0.00%;1;30.80;0.69;32.39;1.65;-%;10.00;92.49
Gennex Laboratories Ltd.;5.42;3.30;7.89;-;1.41 L;49.89;PHARMACEUTICALS;68.56;45.17;2.45;0.00%;1;30.80;0.12;28.53;2.21;-%;1.00;81.12
GlaxoSmithKline Pharmaceuticals Ltd.;2475.85;2309.05;2795.00;-;320;93;PHARMACEUTICALS;20,971.20;65.05;239.45;500.00%;1;30.80;38.06;60.14;10.34;2.02%;10.00;71.57
Glenmark Pharma Ltd.;629.95;528.00;973.10;-;6624;4824;PHARMACEUTICALS;17,775.18;10.66;334.43;200.00%;1;30.80;59.08;10.03;1.88;0.32%;1.00;45.85
Godavari Drugs Ltd.;39.50;30.00;47.90;-;2327;3139;PHARMACEUTICALS;29.75;26.33;21.54;0.00%;1;30.80;1.50;15.37;1.83;-%;10.00;88.86
Granules India Ltd.;139.85;101.95;157.00;-;10.79;25.64;PHARMACEUTICALS;3,549.64;24.49;34.94;25.00%;1;30.80;5.71;16.41;4.00;0.18%;1.00;30.11
Gufic Biosciences Ltd.;127.05;52.10;144.30;BUY;1661;2202;PHARMACEUTICALS;982.73;59.65;5.81;5.00%;1;30.80;2.13;48.68;21.87;0.04%;1.00;49.23
Gujarat Terce Laboratories Ltd.;14.91;6.85;18.20;-;150;450;PHARMACEUTICALS;11.06;-;13.55;0.00%;1;30.80;-;-;1.10;-%;10.00;100
Gujarat Themis Biosyn Ltd.;52.90;40.00;67.80;-;4822;1011;PHARMACEUTICALS;76.86;18.76;5.57;0.00%;1;30.80;2.82;14.74;9.50;-%;5.00;88.88
Hester Biosciences Ltd.;1645.50;716.00;1949.80;BUY;28;361;PHARMACEUTICALS;1,399.80;50.17;140.75;53.00%;1;30.80;32.80;41.89;11.69;0.32%;10.00;64.89
Hikal Ltd.;232.20;191.35;264.90;-;483;3839;PHARMACEUTICALS;1,908.70;27.54;65.31;60.00%;1;30.80;8.43;13.79;3.56;0.52%;2.00;67.53
Indoco Remedies Ltd.;277.50;179.00;314.00;-;4830;2225;PHARMACEUTICALS;2,557.17;76.24;70.74;80.00%;1;30.80;3.64;26.40;3.92;0.58%;2.00;67.92
Ind-Swift Ltd.;9.79;5.01;11.97;BUY;1255;15.61;PHARMACEUTICALS;53.03;-;-115.12;0.00%;1;30.80;-;-;-;-%;2.00;100
Ind-Swift Laboratories Ltd.;65.30;31.00;83.50;-;2060;3200;PHARMACEUTICALS;295.66;-;50.58;0.00%;1;30.80;-;6.00;1.29;-%;10.00;100
Ipca Laboratories Ltd.;584.60;400.00;656.00;-;2798;2173;PHARMACEUTICALS;7,377.60;45.53;196.13;0.00%;1;30.80;12.84;22.15;2.98;-%;2.00;41.14
Jagsonpal Pharmaceuticals Ltd.;39.50;28.05;50.75;-;300;5224;PHARMACEUTICALS;103.48;39.11;38.96;2.00%;1;30.80;1.01;22.32;1.01;0.25%;5.00;58.92
JB Chemicals and Pharmaceuticals Ltd.;327.65;255.00;367.65;BUY;5347;1227;PHARMACEUTICALS;2,738.17;18.25;166.04;50.00%;1;30.80;17.95;13.95;1.97;0.31%;2.00;53.13
Jenburkt Pharma Ltd.;587.45;388.90;649.80;-;1557;2480;PHARMACEUTICALS;273.12;20.11;115.40;81.00%;1;30.80;29.21;17.77;5.09;1.38%;10.00;90.37
Jubilant Life Sciences Ltd.;921.25;600.00;950.00;-;32.39;1728;PHARMACEUTICALS;14,673.77;129.57;128.25;300.00%;1;30.80;7.11;75.51;7.18;0.33%;1.00;38.98
Kerala Ayurveda Ltd.;100.60;64.00;122.80;-;1784;-;PHARMACEUTICALS;106.19;50.81;17.01;0.00%;1;30.80;1.98;39.92;5.91;-%;10.00;100
Kilitch Drugs (India) Ltd.;88.60;43.70;93.50;-;844;750;PHARMACEUTICALS;117.23;67.63;87.61;0.00%;1;30.80;1.31;38.35;1.01;-%;10.00;29.50
Kopran Ltd.;77.75;51.05;102.50;-;20.89;36.35;PHARMACEUTICALS;336.29;28.17;46.46;0.00%;1;30.80;2.76;22.03;1.67;-%;10.00;34.65
Krebs Biochemicals & Industries Ltd.;152.20;74.15;169.45;-;221;15;PHARMACEUTICALS;209.19;-;1.07;0.00%;1;30.80;-;-;142.24;-%;10.00;100
Lactose (India) Ltd.;145.10;61.00;190.05;-;307;425;PHARMACEUTICALS;173.62;237.87;22.72;0.00%;1;30.80;0.61;41.94;6.39;-%;10.00;100
Laurus Labs Ltd.;547.15;468.00;634.00;-;2222;1556;PHARMACEUTICALS;5,801.42;26.72;128.12;15.00%;1;30.80;20.48;18.12;4.27;0.27%;10.00;77.02
Lincoln Pharmaceuticals Ltd.;230.25;148.00;256.20;BUY;4987;5070;PHARMACEUTICALS;460.50;21.10;93.33;0.00%;1;30.80;10.91;17.93;2.47;-%;10.00;68.79
Lupin Ltd.;917.10;807.00;1572.25;-;7890;14.32;PHARMACEUTICALS;41,455.45;19.27;327.11;375.00%;1;28.78;47.60;16.46;2.80;0.82%;2.00;33.82
Lyka Labs Ltd.;71.65;38.65;81.90;-;10.02;10.12;PHARMACEUTICALS;201.62;-;24.69;0.00%;1;30.80;-;-;2.90;-%;10.00;58.70
Makers Laboratories Ltd.;100.05;72.00;144.00;BUY;1796;410;PHARMACEUTICALS;49.19;17.37;60.73;10.00%;1;30.80;5.76;12.57;1.65;1.00%;10.00;83.00
Mangalam Drugs & Organics Ltd.;199.90;125.50;225.90;-;6428;2802;PHARMACEUTICALS;316.41;13.40;54.44;0.00%;1;30.80;14.92;11.06;3.67;-%;10.00;49.89
Marksans Pharma Ltd.;45.65;34.25;58.25;-;70.18;88.67;PHARMACEUTICALS;1,868.52;163.04;10.24;5.00%;1;30.80;0.28;70.23;4.46;0.11%;1.00;37.42
Medicamen Biotech Ltd.;729.70;326.00;784.40;BUY;326;493;PHARMACEUTICALS;807.78;100.23;23.99;0.00%;1;30.80;7.28;80.90;30.42;-%;10.00;73.31
Merck Ltd.;1531.80;933.00;1687.30;BUY;955;772;PHARMACEUTICALS;2,542.69;29.97;388.85;110.00%;1;30.80;51.11;21.52;3.94;0.72%;10.00;42.66
Mercury Laboratories Ltd.;460.00;354.35;538.65;-;123;76;PHARMACEUTICALS;55.20;44.66;204.58;15.00%;1;30.80;10.30;21.86;2.25;0.33%;10.00;100
Morepen Laboratories Ltd.;41.05;14.80;44.35;-;34.25;67.11;PHARMACEUTICALS;1,846.54;76.02;5.16;0.00%;1;30.80;0.54;31.82;7.96;-%;2.00;51.07
Natco Pharma Ltd.;1020.65;581.25;1080.00;-;455;919;PHARMACEUTICALS;18,829.49;33.67;92.24;300.00%;1;30.80;30.31;30.72;11.07;0.59%;2.00;64.52
Nath Bio-Genes Ltd.;549.40;130.00;553.35;-;2963;911;PHARMACEUTICALS;879.26;38.69;85.97;0.00%;1;52.01;14.20;34.15;6.39;-%;10.00;54.72
Natural Capsules Ltd.;141.35;57.10;158.90;BUY;110;119;PHARMACEUTICALS;88.10;353.37;94.66;10.00%;1;28.32;0.40;19.28;1.49;0.71%;10.00;100
Nectar Lifesciences Ltd.;36.05;24.00;43.65;BUY;21.76;11.8;PHARMACEUTICALS;808.46;14.42;44.89;5.00%;1;30.80;2.50;6.84;0.80;0.14%;1.00;60.69
Neuland Laboratories Ltd.;887.75;828.15;1680.00;BUY;208;207;PHARMACEUTICALS;788.70;45.81;242.82;0.00%;1;30.80;19.38;21.99;3.66;-%;10.00;50.55
NGL Fine Chem Ltd.;487.85;301.05;557.90;-;303;458;PHARMACEUTICALS;301.39;24.16;94.71;0.00%;1;30.80;20.19;19.37;5.15;-%;5.00;86.56
Novartis India Ltd.;666.95;579.00;758.00;SELL;1402;4754;PHARMACEUTICALS;1,876.85;38.24;326.80;200.00%;1;30.80;17.44;35.63;2.04;1.50%;5.00;73.09
Nutraplus India Ltd.;38.00;19.60;51.05;-;807;190;PHARMACEUTICALS;129.55;-;19.72;0.00%;1;30.80;-;-;1.93;-%;5.00;100
Orchid Pharma Ltd.;20.90;16.70;39.70;-;6500;10.5;PHARMACEUTICALS;185.94;-;-29.66;0.00%;1;30.80;-;-;-;-%;10.00;100
Ortin Laboratories Ltd.;25.05;14.90;34.40;BUY;5129;4950;PHARMACEUTICALS;42.44;-;13.97;0.00%;1;30.80;-;34.32;1.79;-%;10.00;100
Panacea Biotec Ltd.;256.90;122.15;302.40;-;1729;11;PHARMACEUTICALS;1,573.53;-;73.18;0.00%;1;30.80;-;-;3.51;-%;1.00;38.85
Panchsheel Organics Ltd.;99.55;70.00;130.90;-;347;365;PHARMACEUTICALS;49.93;16.51;46.74;10.00%;1;30.80;6.03;11.78;2.13;1.00%;10.00;95.42
Parabolic Drugs Ltd.;7.97;6.02;10.39;-;8470;500;PHARMACEUTICALS;49.33;-;-131.73;0.00%;1;30.80;-;1.27;-;-%;10.00;100
Parenteral Drugs (India) Ltd.;22.20;16.50;32.00;BUY;1191;1668;PHARMACEUTICALS;66.19;-;-33.64;0.00%;1;30.80;-;-;-;-%;10.00;100
Patidar Buildcon Ltd.;9.42;6.79;15.90;-;65;181;CONSTRUCTION & CONTRACTING - REAL ESTATE;5.18;26.17;11.12;0.00%;1;25.52;0.36;25.46;0.85;-%;10.00;94.29
Pfizer Ltd.;2086.95;1625.00;2100.00;-;660;710;PHARMACEUTICALS;9,547.32;31.96;528.74;200.00%;1;30.80;65.30;26.40;3.95;0.96%;10.00;65.33
Pharmasia Ltd.;26.20;16.25;33.75;-;100;100;PHARMACEUTICALS;17.89;87.33;11.35;0.00%;1;30.80;0.30;27.58;2.31;-%;10.00;100
Piramal Enterprises Ltd.;2842.15;1670.00;3083.05;-;31.17;718;PHARMACEUTICALS;49,108.97;186.13;834.70;1050.00%;1;30.80;15.27;137.04;3.40;0.74%;2.00;56.90
Piramal Phytocare Ltd.;43.05;33.25;97.85;-;1459;-;PHARMACEUTICALS;111.76;-;1.95;0.00%;1;30.80;-;-;22.08;-%;10.00;
Roopa Industries Ltd.;14.16;10.61;15.25;-;20;500;PHARMACEUTICALS;11.14;32.18;11.68;0.00%;1;30.80;0.44;12.99;1.21;-%;10.00;100
RPG Life Sciences Ltd.;554.95;294.00;606.40;-;3424;2612;PHARMACEUTICALS;917.83;129.66;93.16;35.00%;1;30.80;4.28;48.68;5.96;0.50%;8.00;24.64
Saamya Biotech India Ltd.;1.89;1.05;6.40;-;-;-;PHARMACEUTICALS;4.70;-;-5.38;0.00%;1;30.80;-;-;-;-%;10.00;
Samrat Pharmachem Ltd.;115.15;35.60;129.80;-;507;504;PHARMACEUTICALS;35.58;17.74;49.59;0.00%;1;30.80;6.49;13.18;2.32;-%;10.00;83.42
Sandu Pharmaceuticals Ltd.;35.85;22.50;42.10;BUY;8304;-;PHARMACEUTICALS;25.39;210.88;26.98;0.00%;1;30.80;0.17;30.13;1.33;-%;10.00;100
Sanjivani Parenteral Ltd.;5.77;4.82;16.45;-;262;-;PHARMACEUTICALS;3.40;-;0.40;0.00%;1;30.80;-;-;14.43;-%;10.00;
Sanofi India Ltd.;4673.90;3901.00;4945.00;BUY;173;106;PHARMACEUTICALS;10,764.28;35.82;753.49;680.00%;1;30.80;130.48;24.93;6.20;1.45%;10.00;76.06
Sequent Scientific Ltd.;98.00;95.00;150.55;BUY;11.04;3369;PHARMACEUTICALS;2,388.61;118.07;51.59;0.00%;1;30.80;0.83;52.69;1.90;-%;2.00;59.19
Sharon Bio Medicine Ltd.;7.60;4.98;10.10;-;-;5.07 L;PHARMACEUTICALS;90.39;-;-45.66;0.00%;1;30.80;-;-;-;-%;2.00;100
Shilpa Medicare Ltd.;588.20;537.10;748.95;BUY;737;444;PHARMACEUTICALS;4,795.41;32.99;117.28;60.00%;1;30.80;17.83;27.97;5.02;0.10%;1.00;72.14
Shivalik Rasayan Ltd.;784.05;224.00;824.80;-;23;86;PHARMACEUTICALS;329.93;86.06;42.77;0.00%;1;47.93;9.11;78.33;18.33;-%;10.00;96.50
SMS Pharmaceuticals Ltd.;102.30;66.60;120.90;-;1124;3170;PHARMACEUTICALS;865.99;18.87;30.92;20.00%;1;30.80;5.42;13.32;3.31;0.20%;1.00;69.45
Source Natural Foods and Herbal Supplements Ltd.;106.40;65.65;220.00;-;3745;-;PHARMACEUTICALS;68.49;39.12;10.82;0.00%;1;30.80;2.72;32.54;9.83;-%;10.00;100
Sterling Biotech Ltd.;4.00;3.05;6.77;-;11.58;21.18;PHARMACEUTICALS;108.87;-;46.89;0.00%;1;30.80;-;-;0.09;-%;1.00;57.50
Strides Shasun Ltd.;803.85;754.00;1259.00;-;5524;2599;PHARMACEUTICALS;7,193.90;99.73;361.21;45.00%;1;30.80;8.06;36.19;2.23;0.56%;10.00;35.96
Sunil Healthcare Ltd.;92.30;65.50;108.00;-;1019;5005;PHARMACEUTICALS;94.65;19.35;36.24;0.00%;1;28.32;4.77;10.26;2.55;-%;10.00;83.82
Sun Pharma Advanced Research Company Ltd.;508.95;273.00;532.40;-;3788;2237;PHARMACEUTICALS;12,771.41;-;6.38;0.00%;1;37.72;-;-;79.77;-%;1.00;32.07
Sun Pharmaceutical Industries Ltd.;583.35;433.15;728.45;-;11.38;20.64;PHARMACEUTICALS;139,963.71;-;86.99;350.00%;1;30.80;-;-;6.71;0.60%;1.00;43.61
Suven Life Sciences Ltd.;204.15;155.00;230.00;-;12.59;5939;PHARMACEUTICALS;2,598.47;20.68;57.47;100.00%;1;30.80;9.87;17.68;3.55;0.49%;1.00;60.50
Syncom Formulations Ltd.;2.26;1.17;2.50;-;2.05 L;-;PHARMACEUTICALS;176.43;18.83;1.50;2.00%;1;30.80;0.12;14.12;1.51;0.88%;1.00;100
Syncom Healthcare Ltd.;7.64;4.00;8.50;-;18.06;16.17;PHARMACEUTICALS;30.56;-;19.07;0.00%;1;30.80;-;-;0.40;-%;10.00;53.31
Themis Medicare Ltd.;614.00;380.00;798.10;-;874;360;PHARMACEUTICALS;563.20;74.42;117.05;0.00%;1;30.80;8.25;39.18;5.25;-%;10.00;69.44
Torrent Pharmaceuticals Ltd.;1401.45;1143.50;1572.10;-;617;725;PHARMACEUTICALS;23,715.89;40.19;263.18;280.00%;1;30.80;34.87;27.60;5.33;1.00%;5.00;44.84
Transchem Ltd.;36.40;15.45;43.25;BUY;1711;7025;PHARMACEUTICALS;44.55;-;31.03;0.00%;1;30.80;-;-;1.17;-%;10.00;81.34
Trimurthi Ltd.;9.00;5.70;10.36;BUY;-;40;PHARMACEUTICALS;7.29;19.57;14.31;0.00%;1;30.80;0.46;14.52;0.63;-%;10.00;100
Unichem Laboratories Ltd.;362.25;234.10;382.00;-;6492;2905;PHARMACEUTICALS;3,294.16;1.27;124.34;150.00%;1;30.80;284.36;1.25;2.91;0.83%;2.00;70.52
Unjha Formulations Ltd.;13.49;10.11;25.00;-;2670;-;PHARMACEUTICALS;6.04;38.54;2.11;0.00%;1;30.80;0.35;24.53;6.39;-%;10.00;100
Vasundhara Rasayans Ltd.;36.10;28.40;65.00;BUY;5803;-;PHARMACEUTICALS;11.47;1.93;22.71;10.00%;1;29.40;18.66;1.77;1.59;2.77%;10.00;100
Venus Remedies Ltd.;98.15;88.00;125.90;-;6363;6916;PHARMACEUTICALS;121.14;28.70;370.41;0.00%;1;30.80;3.42;2.67;0.26;-%;10.00;44.19
Vikram Thermo India Ltd.;125.80;101.15;151.95;-;2555;1703;PHARMACEUTICALS;70.23;16.68;64.55;16.50%;1;30.80;7.54;12.64;1.95;1.31%;10.00;81.74
Vista Pharmaceuticals Ltd.;46.95;16.00;54.15;BUY;7106;3100;PHARMACEUTICALS;134.50;86.94;5.78;0.00%;1;30.80;0.54;52.75;8.12;-%;2.00;70.55
Vivanza Biosciences Ltd.;63.60;63.60;191.25;BUY;50;-;PHARMACEUTICALS;25.44;198.75;9.20;0.00%;1;30.80;0.32;198.75;6.91;-%;10.00;100
Vivimed Labs Ltd.;101.75;91.15;153.30;-;18.06;5140;PHARMACEUTICALS;839.68;6.06;61.97;20.00%;1;30.80;16.79;5.08;1.64;0.39%;2.00;59.38
Vivo Biotech Ltd.;51.30;40.00;100.00;-;251;356;PHARMACEUTICALS;47.97;19.29;13.46;0.00%;1;52.01;2.66;7.51;3.81;-%;10.00;100
Wanbury Ltd.;47.60;32.85;75.95;-;2420;40;PHARMACEUTICALS;110.53;-;-81.64;0.00%;1;30.80;-;-;-;-%;10.00;100
Welcure Drugs and Pharmaceuticals Ltd.;1.35;0.83;4.60;-;4401;-;PHARMACEUTICALS;1.82;-;1.06;0.00%;1;30.80;* -;-;1.27;-%;10.00;
Wintac Ltd.;246.60;138.15;282.00;-;-;120;PHARMACEUTICALS;247.20;-;5.41;0.00%;1;30.80;-;120.88;45.58;-%;10.00;100
Wockhardt Ltd.;929.60;531.50;1012.00;-;7034;561;PHARMACEUTICALS;10,281.08;-;110.25;200.00%;1;30.80;-;2,582.22;8.43;1.08%;5.00;15.80
Zenotech Laboratories Ltd.;48.85;34.40;59.70;BUY;800;850;PHARMACEUTICALS;298.13;-;12.02;0.00%;1;30.80;-;-;4.06;-%;10.00;100
Asian Tea and Exports Ltd.;17.90;13.55;24.50;-;100;470;PLANTATIONS - TEA & COFFEE;17.90;85.24;25.09;0.00%;1;51.37;0.21;68.85;0.71;-%;10.00;79.40
Assam Company (India) Ltd.;5.53;3.91;9.30;BUY;26.68;5275;PLANTATIONS - TEA & COFFEE;171.30;-;5.22;0.00%;1;51.37;-;-;1.06;-%;1.00;100
B and A Ltd.;299.05;189.00;374.00;-;7;304;PLANTATIONS - TEA & COFFEE;92.71;17.54;162.85;30.00%;1;51.37;17.05;12.00;1.84;1.00%;10.00;74.17
Bombay Burmah Trading Corporation Ltd.;1637.85;535.00;1820.00;-;1846;1342;PLANTATIONS - TEA & COFFEE;11,427.59;-;46.88;50.00%;1;51.37;-;1,904.48;34.94;0.06%;2.00;27.56
CCL Products India Ltd.;293.35;253.45;371.80;-;4033;1241;PLANTATIONS - TEA & COFFEE;3,902.37;35.13;41.00;175.00%;1;51.37;8.35;32.03;7.15;1.19%;2.00;68.63
Dhunseri Petrochem Ltd.;177.20;71.25;196.00;BUY;1184;2908;PETROCHEMICALS;620.78;-;216.46;20.00%;1;22.52;-;-;0.82;1.13%;10.00;62.29
Dhunseri Tea & Industries Ltd.;446.75;255.05;513.00;-;46;268;PLANTATIONS - TEA & COFFEE;312.95;54.55;889.41;80.00%;1;51.37;8.19;24.12;0.50;1.79%;10.00;100
Diana Tea Company Ltd.;27.10;17.10;33.20;BUY;9313;3189;PLANTATIONS - TEA & COFFEE;40.63;13.76;46.54;5.00%;1;51.37;1.97;10.07;0.58;0.92%;5.00;92.87
Gillanders Arbuthnot & Co Ltd.;83.00;58.75;101.50;-;250;110;DIVERSIFIED;177.14;35.17;91.74;0.00%;1;23.14;2.36;7.37;0.90;-%;10.00;100
Goodricke Group Ltd.;426.35;221.10;545.00;BUY;996;412;PLANTATIONS - TEA & COFFEE;920.92;19.40;135.13;45.00%;1;51.37;21.98;15.06;3.16;1.06%;10.00;81.88
Harrisons Malyalam Ltd.;94.90;69.80;124.90;BUY;355;479;PLANTATIONS - TEA & COFFEE;175.14;50.75;52.12;0.00%;1;51.37;1.87;20.72;1.82;-%;10.00;100
James Warren Tea Ltd.;140.00;110.00;160.00;-;16;315;PLANTATIONS - TEA & COFFEE;168.01;-;116.48;0.00%;1;51.37;-;88.05;1.20;-%;10.00;94.88
Jayshree Tea and Industries Ltd.;109.40;90.20;143.90;-;806;115;PLANTATIONS - TEA & COFFEE;315.92;-;84.68;10.00%;1;51.37;-;781.43;1.29;0.46%;5.00;100
Kanco Tea and Industries Ltd.;121.00;71.10;276.00;BUY;171;7;PLANTATIONS - TEA & COFFEE;61.99;42.46;45.72;25.00%;1;51.37;2.85;22.79;2.65;2.07%;10.00;100
Lykis Ltd.;46.60;37.30;63.80;-;-;2141;PLANTATIONS - TEA & COFFEE;90.29;-;17.64;0.00%;1;51.37;-;-;2.64;-%;10.00;100
Mcleod Russel (India) Ltd.;183.65;147.15;248.30;-;9545;2576;PLANTATIONS - TEA & COFFEE;2,010.15;34.85;159.27;5.00%;1;51.37;5.27;14.34;1.15;0.14%;5.00;66.65
Rossell India Ltd.;121.80;89.00;149.90;BUY;633;2371;PLANTATIONS - TEA & COFFEE;446.96;1,353.33;45.41;10.00%;1;51.37;0.09;48.72;2.68;0.16%;2.00;64.94
Tata Coffee Ltd.;160.10;115.10;183.45;-;10.58;7719;PLANTATIONS - TEA & COFFEE;2,990.19;23.27;48.04;175.00%;1;51.37;6.88;19.81;3.33;1.09%;1.00;50.21
Tata Global Beverage Ltd.;313.75;124.15;328.80;-;9933;4395;PLANTATIONS - TEA & COFFEE;19,801.70;50.85;59.96;235.00%;1;51.37;6.17;47.97;5.23;0.75%;1.00;21.19
Terai Tea Co Ltd.;62.90;43.50;80.40;-;90;400;PLANTATIONS - TEA & COFFEE;43.27;-;54.80;0.00%;1;51.37;-;45.25;1.15;-%;10.00;100
Tyroon Tea Company Ltd.;54.05;40.55;66.00;-;150;1261;PLANTATIONS - TEA & COFFEE;18.39;-;60.81;0.00%;1;51.37;-;71.12;0.89;-%;10.00;91.30
Warren Tea Ltd.;121.95;100.40;183.25;-;2895;403;PLANTATIONS - TEA & COFFEE;145.74;-;88.11;0.00%;1;51.37;-;871.07;1.38;-%;10.00;100
Acrysil (India) Ltd.;607.05;440.00;665.00;-;378;675;PLASTICS;315.00;55.85;172.37;50.00%;1;39.84;10.87;30.10;3.52;0.82%;10.00;95.97
Amco India Ltd.;48.60;16.90;59.30;-;1;751;PLASTICS;19.97;9.02;63.83;0.00%;1;21.54;5.39;5.98;0.76;-%;10.00;88.75
Arcee Industries Ltd.;1.72;1.64;2.58;-;-;-;PLASTICS;0.88;-;9.31;0.00%;1;81.07;-;-;0.18;-%;10.00;
Arrow Greentech Ltd.;508.40;417.00;715.00;BUY;653;2164;PLASTICS;596.86;36.76;34.36;56.00%;1;41.31;13.83;34.14;14.80;1.10%;10.00;55.29
Astral Poly Technik Ltd.;839.35;378.00;870.00;BUY;1785;2593;PLASTICS;10,052.61;89.20;69.72;50.00%;1;81.07;9.41;65.07;12.04;0.06%;1.00;76.57
Axel Polymers Ltd.;25.00;8.18;29.25;-;150;100;PLASTICS;10.75;104.17;2.81;0.00%;1;31.77;0.24;33.78;8.90;-%;10.00;100
Biopac India Corporation Ltd.;35.70;15.55;45.45;-;3904;3562;PLASTICS;61.58;115.16;11.73;0.00%;1;41.31;0.31;10.23;3.04;-%;10.00;79.69
Bright Brothers Ltd.;120.60;62.00;132.30;-;10;400;PLASTICS;68.50;344.57;84.01;20.00%;1;41.31;0.35;13.55;1.44;1.66%;10.00;100
Caprihans India Ltd.;116.70;86.00;129.00;BUY;1416;1082;PLASTICS;153.27;29.54;97.08;15.00%;1;81.07;3.95;17.79;1.20;1.29%;10.00;60.00
Captain Pipes Ltd.;58.00;46.00;120.00;-;3000;4500;PLASTICS;24.12;-;23.21;0.00%;1500;81.07;* -;-;2.50;-%;10.00;
Captain Polyplast Ltd.;156.50;118.00;190.00;BUY;3905;1183;PLASTICS;157.69;32.74;28.97;2.00%;1;81.07;4.78;22.68;5.40;0.13%;10.00;13.17
Cosmo Films Ltd.;365.85;345.00;468.80;-;4174;2532;PLASTICS;713.41;7.37;312.95;100.00%;1;27.51;49.67;5.45;1.17;2.73%;10.00;69.25
Duro Pack Ltd.;26.50;15.20;29.15;-;200;32;PLASTICS;13.97;20.23;14.43;0.00%;1;21.54;1.31;15.32;1.84;-%;10.00;100
Dutron Polymers Ltd.;140.00;110.25;176.40;-;4;245;PLASTICS;84.00;58.82;26.79;14.00%;1;81.07;2.38;28.28;5.23;1.00%;10.00;
Fiberweb India Ltd.;175.20;85.30;194.50;-;5407;8472;PLASTICS;504.43;12.28;51.99;0.00%;1;41.31;14.27;10.86;3.37;-%;10.00;77.11
Hindustan Adhesives Ltd.;94.40;56.00;104.00;-;291;2097;PLASTICS;48.30;15.15;47.42;10.00%;1;9.79;6.23;7.30;1.99;1.06%;10.00;91.87
Hitech Corporation Ltd.;182.85;142.50;235.80;-;30.42;3611;PLASTICS;314.06;44.49;85.82;9.00%;1;41.31;4.11;15.65;2.13;0.49%;10.00;41.51
Innocorp Ltd.;1.36;1.10;4.04;-;11;-;PLASTICS;1.08;-;1.94;0.00%;1;41.31;-;-;0.70;-%;10.00;100
Innovative Tech Pack Ltd.;88.75;56.00;116.40;BUY;13.58;7967;PLASTICS;194.05;18.22;17.40;25.00%;1;41.31;4.87;10.55;5.10;0.28%;1.00;78.45
Integrated Thermoplastics Ltd.;4.47;4.00;4.75;-;2700;200;PLASTICS;2.81;-;0.57;0.00%;100;81.07;-;-;7.84;-%;10.00;
Intellivate Capital Ventures Ltd.;9.50;8.77;23.75;-;15;-;PLASTICS;27.65;950.00;1.72;0.00%;1;46.34;0.01;950.00;5.52;-%;1.00;100
Jain Irrigation Systems Ltd.;141.20;82.80;146.40;-;26.95;21.69;PLASTICS;7,008.69;38.79;87.03;37.50%;1;41.47;3.64;19.37;1.62;0.53%;2.00;27.96
Jain Irrigation Systems (DVR) Ltd.;90.70;56.00;99.95;-;19.39;9947;PLASTICS;175.00;-;87.03;37.50%;1;41.47;-;12.44;1.04;0.83%;2.00;42.92
Jasch Industries Ltd.;71.20;48.00;86.00;-;1875;7325;PLASTICS;80.67;20.82;35.16;0.00%;1;41.31;3.42;12.03;2.03;-%;10.00;100
Jauss Polymers Ltd.;26.70;22.40;42.00;-;1760;800;PLASTICS;12.35;-;23.21;0.00%;1;41.31;-;32.96;1.15;-%;10.00;100
